id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
9805325,https://candidat.pole-emploi.fr/offres/recherche/detail/9805325,2026-03-03,Offre d'emploi Data Scientist - Confirmé (H/F) - 92 - Nanterre - 9805325 | France Travail,92 - Nanterre,"act digital est un groupe international de conseil et d'ingénierie qui accompagne ses clients dans leurs projets de transformation numérique.

Présent dans 12 pays et fort de plus de 5 600 collaborateurs, nous mettons nos expertises au service de leurs enjeux en développement logiciel, cybersécurité, data, cloud et IA.

Notre ambition : devenir le partenaire technologique de confiance des entreprises les plus innovantes, en concevant et sécurisant des systèmes qui renforcent leur performance et leur résilience.

Rejoindre act digital France, c'est intégrer une organisation agile et engagée, qui fait avancer les projets avec ses clients pour transformer les idées en résultats concrets, avec pragmatisme et exigence.

Le poste : 

Vous intégrerez, au sein de notre Pôle Transformation Numérique, une équipe d'experts en gestion de la donnée en charge d'accompagner nos clients. 

Vous serez détaché(e) chez un acteur majeur du secteur de l'assurance dans une équipe en charge de développer des algorithmes d'IA. 

Vos missions seront les suivantes :
- Concevoir, développer et maintenir des modèles analytiques et prédictifs performants pour appuyer les décisions métier.
- Créer et entraîner des algorithmes d'Intelligence Artificielle pour résoudre des problématiques métiers spécifiques (classification, prédiction, détection d'anomalies) en utilisant Python et ses bibliothèques (scikit-learn, TensorFlow, PyTorch?).
- Exploiter, transformer et contrôler des données complexes via Python et le progiciel ACL, en automatisant les processus de reporting et d'audit.
- Collaborer avec les équipes métiers, IT et Data pour transformer les besoins en solutions analytiques concrètes et exploitables.
- Assurer la qualité et la robustesse des analyses et modèles via tests, validation, documentation et bonnes pratiques de data engineering.
- Participer à l'amélioration continue des méthodologies analytiques et au partage de connaissances au sein de l'équipe.

Profil recherché : 

- Vous êtes issu(e) d'une formation Bac+5 (École d'ingénieur, Université ou équivalent ?) en informatique
- Vous justifiez d'une expérience de 3 ans minimum en tant que Data Scientist 
- Vous êtes un bon communiquant et disposez de capacités d'analyse et de synthèse éprouvées
- Vous accordez de l'importance (et du temps) à la veille

Quelles compétences/connaissances pour ce poste :
- Maitrise de Python et du progiciel ACL (et de toutes ses composantes)","
CDI

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,2 An(s),CDI,False
9792923,https://candidat.pole-emploi.fr/offres/recherche/detail/9792923,2026-03-03,Offre d'emploi Data scientist (H/F) - 77 - Réau - 9792923 | France Travail,77 - Réau,"Description du poste :
Sous la supervision du leader technique de la thématique concernée, le/la Data Scientist accompagnera les équipes du département Compresseur dans le développement et le déploiement de solutions de data science sur ce périmètre.
Ses principales missions seront les suivantes Mettre en forme, structurer et centraliser les données afin de les rendre exploitables au sein de bases de données adaptées Développer des outils de visualisation et d'analyse de données pour en extraire de la valeur Concevoir et implémenter des modèles de machine learning et/ou de deep learning en fonction des besoins identifiés Valider les modèles développés et présenter les résultats aux experts et parties prenantes du département Assurer le déploiement durable des modèles en environnement opérationnel Participer à la rédaction de rapports de synthèse et à la restitution des analyses.
Description du profil Solides compétences en développement Python, incluant la conception d'interfaces graphiques et de tableaux de bord (dashboards Maîtrise des méthodes et techniques de data science, notamment en machine learning et deep learning, ainsi que des outils et langages associés Expérience du développement collaboratif et de la gestion de versions à l'aide de Git Bonne connaissance des environnements informatiques Windows.","
Intérim - 9 Mois

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Débutant accepté,Intérim - 9 Mois,True
9781497,https://candidat.pole-emploi.fr/offres/recherche/detail/9781497,2026-03-03,"Offre d'emploi Data Scientist F/H - Système, réseaux, données (H/F) - 34 - Montpellier - 9781497 | France Travail",34 - Montpellier,"Descriptif du poste:

Vous intervenez au sein d'un environnement data structuré, en lien étroit avec les équipes métiers et la data platform.
Votre rôle consiste à valoriser des gisements de données en mobilisant des compétences scientifiques avancées, tout en intégrant les contraintes et enjeux métier.
Missions principales
* 
Explorer et exploiter des flux de données issus de la data platform ou de sources externes
* 
Évaluer la qualité, la richesse et la pertinence des données
* 
Identifier les sources adéquates et formuler des recommandations (consolider, modifier, rapatrier, externaliser, internaliser)
* 
Concevoir des modèles statistiques et/ou de machine learning
* 
Comparer et évaluer différentes approches de modélisation en fonction du contexte métier
* 
Anticiper les avantages et limites des modèles dans leur environnement d'usage
* 
Industrialiser les réalisations dans la chaîne technologique data ou les intégrer dans le SI métier
* 
Assurer une veille active en recherche & innovation
Compétences techniques requises
* 
Maîtrise avancée de Python
* 
Connaissance des bibliothèques de machine learning : TensorFlow, PyTorch, Scikit-learn
* 
Bonne maîtrise des bases de données SQL et NoSQL
* 
Expérience dans la manipulation de grandes volumétries de données
Compétences scientifiques
* 
Expertise en algèbre linéaire
* 
Solides bases en probabilités et méthodes statistiques
* 
Bonne compréhension des concepts fondamentaux de l'optimisation
Livrables attendus
* 
Scénarios prédictifs
* 
Modèles de machine learning
* 
Présentations structurées des analyses et conclusions
* 
Recommandations exploitables pour les équipes métiers

Profil recherché:

Profil recherché
* 
Expérience significative en data science avancée
* 
Capacité à faire le lien entre expertise scientifique et enjeux métier
* 
Rigueur analytique et esprit critique
* 
Capacité à industrialiser et documenter les travaux réalisés","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Reel it,3 An(s),CDI,False
9780206,https://candidat.pole-emploi.fr/offres/recherche/detail/9780206,2026-03-03,"Offre d'emploi Data Scientist - (h/f)-JLA F/H - Système, réseaux, données - 69 - Lyon 7e Arrondissement - 9780206 | France Travail",69 - Lyon 7e Arrondissement,"Descriptif du poste:

Nous recherchons un DATA Scientist afin d'exploiter des données dans le cadre de modèles statistiques. L'analyse avancée aura pour but de faciliter les décisions commerciales et optimiser les résultats.
Responsabilités :
Développer des modèles statistiques et des algorithmes en utilisant une approche expérimentale et de découverte.
Exécuter une modélisation avancée des données pour extraire des insights et des prédictions.
Créer une chaîne analytique complète incluant la transformation, la structuration, la modélisation, la visualisation et l'obtention d'insights exploitables.
Utiliser divers outils et méthodes pour appliquer des analyses avancées aux défis métier et optimiser les résultats.

Profil recherché:

Compétences :
Maîtrise de la modélisation statistique et des algorithmes.
Expérience dans l'exécution de modèles de données avancés.
Solides compétences en transformation et visualisation des données.
Capacité à créer des insights exploitables à partir des données.
Bons à avoir :
* Familiarité avec les techniques d'apprentissage automatique.
* Expérience avec des outils de visualisation de données comme Tableau ou Power BI.
* Connaissance des stratégies d'optimisation métier.
Langue:
Anglais/Professionnel complet
Français/Langue entièrement maîtrisé
Niveau d'expérience avancée","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Nedson,7 An(s),CDI,False
9779906,https://candidat.pole-emploi.fr/offres/recherche/detail/9779906,2026-03-03,"Offre d'emploi Data Scientist - Fraud & Payment Analytics F/H - Système, réseaux, données (H/F) - 75 - Paris 1er Arrondissement - 9779906 | France Travail",75 - Paris 1er Arrondissement,"Descriptif du poste:

Dans le cadre du renforcement des dispositifs de sécurisation des paiements électroniques et de la lutte contre la fraude, il est recherché un Data Scientist capable d'intervenir sur des problématiques de détection de fraude bancaire, scoring et authentification forte, analyse massive de données transactionnelles et optimisation de modèles prédictifs en environnement critique.
Le poste s'inscrit dans un contexte à forts enjeux réglementaires et opérationnels, avec des traitements en temps réel et des volumes de données importants.
Le contexte fonctionnel couvre :
* 
Paiement électronique & cartes bancaires
* 
Lutte contre la fraude
* 
Authentification forte
* 
Conformité réglementaire
* 
Analyse de risques transactionnels
���� Missions
Analyse & Modélisation
* 
Analyse exploratoire et statistique de données transactionnelles massives
* 
Conception et amélioration de modèles de Machine Learning pour la détection de fraude
* 
Feature engineering sur données temporelles et comportementales
* 
Optimisation des performances des modèles (précision, recall, stabilité)
Industrialisation & Production
* 
Déploiement et suivi de modèles de scoring en environnement de production
* 
Monitoring des performances des modèles (drift, précision, recall)
* 
Automatisation des traitements et du reporting analytique
* 
Participation à l'amélioration continue des pipelines data
Collaboration métier
* 
Interaction avec les équipes sécurité, fraude et conformité
* 
Traduction des besoins métier en solutions data
* 
Création de tableaux de bord et visualisations exploitables par les métiers
* 
Documentation et présentation des résultats
 ️ Environnements techniques
Langages & Data Science
* 
Python
* 
R
* 
SQL
Machine Learning & IA
* 
Scikit-learn
* 
XGBoost / LightGBM / Random Forest
* 
PyTorch (optionnel)
* 
Approches RAG / NLP (bonus)
Data Engineering & Big Data
* 
PySpark
* 
Écosystème Hadoop
* 
Traitements batch et temps réel
Data & Visualisation
* 
Power BI
* 
Pandas
* 
NumPy
* 
Excel avancé
Environnements complémentaires
* 
Elasticsearch
* 
PostgreSQL
* 
API Data / JSON
* 
Industrialisation de modèles ML
Outils métiers (paiement / fraude)
* 
Plateformes de scoring temps réel (type Feedzai ou équivalent)
* 
Outils d'authentification forte
* 
Analyse comportementale fraude

Profil recherché:

 
* 
Formation ingénieur / Master Data Science
* 
Expérience en environnement bancaire, paiement ou fraude appréciée
* 
Capacité à travailler sur des données sensibles et critiques
* 
Autonomie, rigueur et orientation résultats
* 
Bonne communication avec les équipes métiers
⭐ Atouts différenciants
* 
Expérience en scoring fraude temps réel
* 
Connaissance des systèmes de paiement CB
* 
Expérience production à forte volumétrie
* 
Vision produit data et industrialisation","
CDI

Contrat travail
",unspecified,unspecified,unspecified,U - consulting groupe,5 An(s),CDI,False
9777345,https://candidat.pole-emploi.fr/offres/recherche/detail/9777345,2026-03-03,Offre d'emploi Data scientist (H/F) - 75 - Paris 1er Arrondissement - 9777345 | France Travail,75 - Paris 1er Arrondissement,"Dans le cadre du renforcement des dispositifs de sécurisation des paiements électroniques et de la lutte contre la fraude, il est recherché un Data Scientist capable d?intervenir sur des problématiques de détection de fraude bancaire, scoring et authentification forte, analyse massive de données transactionnelles et optimisation de modèles prédictifs en environnement critique.
Le poste s?inscrit dans un contexte à forts enjeux réglementaires et opérationnels, avec des traitements en temps réel et des volumes de données importants.
Le contexte fonctionnel couvre :

Paiement électronique & cartes bancaires


Lutte contre la fraude


Authentification forte


Conformité réglementaire


Analyse de risques transactionnels



? MissionsAnalyse & Modélisation

Analyse exploratoire et statistique de données transactionnelles massives


Conception et amélioration de modèles de Machine Learning pour la détection de fraude


Feature engineering sur données temporelles et comportementales


Optimisation des performances des modèles (précision, recall, stabilité)



Industrialisation & Production

Déploiement et suivi de modèles de scoring en environnement de production


Monitoring des performances des modèles (drift, précision, recall)


Automatisation des traitements et du reporting analytique


Participation à l?amélioration continue des pipelines data



Collaboration métier

Interaction avec les équipes sécurité, fraude et conformité


Traduction des besoins métier en solutions data


Création de tableaux de bord et visualisations exploitables par les métiers


Documentation et présentation des résultats



?? Environnements techniquesLangages & Data Science

Python


R


SQL



Machine Learning & IA

Scikit-learn


XGBoost / LightGBM / Random Forest


PyTorch (optionnel)


Approches RAG / NLP (bonus)



Data Engineering & Big Data

PySpark


Écosystème Hadoop


Traitements batch et temps réel



Data & Visualisation

Power BI


Pandas


NumPy


Excel avancé



Environnements complémentaires

Elasticsearch


PostgreSQL


API Data / JSON


Industrialisation de modèles ML



Outils métiers (paiement / fraude)

Plateformes de scoring temps réel (type Feedzai ou équivalent)


Outils d?authentification forte


Analyse comportementale fraude



","
CDI

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,5 An(s),CDI,False
9776645,https://candidat.pole-emploi.fr/offres/recherche/detail/9776645,2026-03-03,"Offre d'emploi Data Scientist F/H - Système, réseaux, données (H/F) - 38 - Grenoble - 9776645 | France Travail",38 - Grenoble,"Descriptif du poste:

Data Scientist, tu contribueras aux développements d'algorithmes et modèles IA pour les leaders de l'industrie (Airbus, Renault, Safran, CMA, Nexans, etc). Nos technologies propriétaires sont le fruit d'une R&D interne active. 
L'IA appliquée aux plans de 3D (automobile et aéronautique), l'optimisation de flux logistiques, la performance des chaines de production, la politique de pricing, etc. Le terrain de jeu est vaste.
Tu devras proposer les modèles et algorithmes pertinents dans le respect des délais, avec toujours un haut niveau de qualité. Tu pourras également contribuer aux activités d'intégration back-end.
Nous travaillons en équipe dans nos locaux avec possibilité de télétravail 2 jours par semaine. Le package est attractif (salaire fixe + primes), avec mutuelle, tickets restaurants, frais de transports, etc.
Nos atouts
* Une équipe soudée, favorisant la montée en compétences
* La R&D sur projet client et en interne, pour rester à la pointe des technologies développées
* Une forte expertise en développement logiciel, nous livrons des solutions utilisées par des centaines d'utilisateurs
* L'association avec STEP, groupe de 60 collaborateurs entre Paris et Toulouse, avec qui nous travaillons au quotidien
* Possibilité de télétravail 2 jours par semaine
* Les team events ;

Profil recherché:

Ingénieur passionné par l'IA et les nouvelles technologies data, à la recherche de nouveaux défis, d'impacts concrets et d'une montée en compétences rapide.
* Diplômé d'une grande école d'ingénieurs du groupe A / A+,  spécialité data et informatique, avec ou sans PhD
* Maitrise de la programmation Python et SQL
* Curieux, avec d'excellentes connaissances en IA (LLM, RL etc), recherche opérationnelle et/ou de l'expérience en tant que Data Engineer dans l'analyse massive de données / Big Data
* Motivé et engagé, avez l'envie d'apprendre en diversifiant tes compétences et surtout de voir l'impact de ton travail !","
CDI

Contrat travail
",unspecified,unspecified,unspecified,D3s,Débutant accepté,CDI,True
9776624,https://candidat.pole-emploi.fr/offres/recherche/detail/9776624,2026-03-03,"Offre d'emploi Data Scientist F/H - Système, réseaux, données (H/F) - 34 - Montpellier - 9776624 | France Travail",34 - Montpellier,"Descriptif du poste:

La mission consiste à accompagner et conseiller le client sur l'exploitation avancée de données géospatiales issues de traces GPS, afin de structurer des indicateurs robustes et développer des modèles prédictifs fiables.
L'objectif est de produire une méthodologie pérenne, documentée et réplicable, permettant d'industrialiser les analyses.
Objectifs principaux
* 
Extraire et formaliser des features géospatiales robustes à partir de traces GPS
* 
Concevoir et entraîner un modèle prédictif de durée de distribution par secteur
* 
Garantir la stabilité temporelle et spatiale des indicateurs
* 
Structurer une méthodologie réplicable et documentée
Missions détaillées
* 
Reconstruction de trajectoires et calcul des durées réelles
* 
Détection d'arrêts, vitesses, temps de service et séquences opérationnelles
* 
Agrégation spatiale et temporelle des indicateurs au niveau secteur
* 
Distinction entre signaux conjoncturels et caractéristiques structurelles
* 
Analyse et valorisation d'historiques de données complexes
Expertises techniques requises
* 
Forte expertise en SIG et en interprétation de données géographiques
* 
Maîtrise de Databricks et PySpark pour le traitement de données volumineuses
* 
Expérience en modélisation avancée (machine learning, prédiction, optimisation de parcours)
* 
Bonne connaissance des outils de cartographie
* 
Capacité à structurer des approches analytiques robustes et industrialisables

Profil recherché:

Profil recherché
* 
Expérience confirmée en data science appliquée aux données géospatiales
* 
Solide compréhension des problématiques de mobilité, logistique ou optimisation de tournées
* 
Rigueur méthodologique
* 
Capacité à formaliser, documenter et transmettre les travaux réalisés
* 
Esprit d'analyse et autonomie","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Reel it,3 An(s),CDI,False
9776567,https://candidat.pole-emploi.fr/offres/recherche/detail/9776567,2026-03-03,"Offre d'emploi Consultant.e Data Scientist F/H - Système, réseaux, données (H/F) - 44 - Nantes - 9776567 | France Travail",44 - Nantes,"Descriptif du poste:
  
Nous recherchons exclusivement des profils expérimentés, avec un minimum de 5 ans d'expérience, capables de mener des projets stratégiques de bout en bout, en toute autonomie : de la définition des besoins jusqu'à l'industrialisation des solutions.  
     
* Développer et déployer des solutions NLP et IA générative (LLMs, embeddings, assistants conversationnels, génération de texte, classification). 
* Concevoir puis industrialiser des solutions adaptées, maintenables et performantes, en adoptant une approche MLOps. 
* Réaliser des modèles prédictifs et d'optimisation pour répondre aux enjeux métier (prévision, segmentation, automatisation).  
* Accompagner des communautés DATA et les métiers à l'adoption des bonnes pratiques à travers : le cadrage des cas d'usages, la conduite de méthodologie expérimentale, des ateliers d'acculturation et d'idéation, le transfert de compétences aux équipes en place.  
* Réaliser une veille continue et partager sur l'état de l'art de la Data Science et les offres de Cloud Provider, pour enrichir nos projets et contribuer à l'intelligence collective  
* Valoriser notre partenariat Microsoft en intégrant les dernières innovations technologiques Azure dans nos solutions et en représentant Valoway lors d'évènements, webinaires et communications.    
Nos principaux environnements techniques :     
* Langages : Python, SQL, Spark, R.  
* Outils de développeur : IDE, GIT.  
* Visualisation : Power BI, Tableau Software, Google Data Studio, Looker.  
* Librairie de DeepLearning : Keras, TensorFlow, Pytorch       
  
Vous souhaitez en savoir plus sur le poste de Data Scientist chez Valoway ? C'est notre équipe qui en parle le mieux : Interview de Pierre, manager du pôle IA au sein de Valoway 
  
Ce que nous proposons :   
* Un salaire indicatif entre 50 K€ et 60 K€ brut annuel (selon expérience et profil). 
* RTT et carte restaurant SWILE. 
* Un environnement agile, avec un mode de travail hybride en fonction des sujets à mener (bureaux Valoway, chez le client, télétravail).  
* Un management de proximité et des perspectives de montée en compétences avec un accompagnement individualisé.  
* Une entreprise à taille humaine et une approche basée sur la proximité, avec nos clients et nos collaborateurs.   

Profil recherché:

Vous avez une expérience de minimum 5 ans, incluant :  
* Une participation active à des projets embarquant des briques d'IA et/ou de Machine Learning, couvrant le cadrage, le développement et l'industrialisation. 
* Une expérience sur les environnements Cloud, idéalement Microsoft Azure.  
* Une capacité à vulgariser les solutions techniques pour des équipes métiers et des décideurs, avec une approche orientée service et succès client.   
  
Nous rejoindre en tant que consultant.e chez Valoway, c'est également un état d'esprit :   
* Autonomie dans la relation client 
* Esprit d'initiative et curiosité 
* Collaboration et sens du partage 
* Mobilité pour répondre aux besoins de nos clients (déplacements possibles)  
  
Ce poste vous correspond ? Vous souhaitez en savoir plus ? Adressez-nous votre candidature !  
  
Notre processus de recrutement pour ce poste :  
* Un premier échange avec Emma, notre RH, pour comprendre votre projet.  
* Un second échange technique et culturel avec nos consultant.e.s pour découvrir notre quotidien et vous embarquer dans notre vision ! 
* Une dernière rencontre avec Louis-Vincent (fondateur) et Gwénolé (directeur) pour vous partager les enjeux de Valoway.  
La durée moyenne du processus de recrutement est d'un mois et peut s'adapter en fonction de vos obligations, nous sommes flexibles !","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Valoway,5 An(s),CDI,False
9776068,https://candidat.pole-emploi.fr/offres/recherche/detail/9776068,2026-03-03,"Offre d'emploi Consultant.e Data Scientist F/H - Système, réseaux, données (H/F) - 79 - Niort - 9776068 | France Travail",79 - Niort,"Descriptif du poste:
    
Nous recherchons exclusivement des profils expérimentés, avec un minimum de 5 ans d'expérience, capables de mener des projets stratégiques de bout en bout, en toute autonomie : de la définition des besoins jusqu'à l'industrialisation des solutions.  
     
* Développer et déployer des solutions NLP et IA générative (LLMs, embeddings, assistants conversationnels, génération de texte, classification). 
* Concevoir puis industrialiser des solutions adaptées, maintenables et performantes, en adoptant une approche MLOps. 
* Réaliser des modèles prédictifs et d'optimisation pour répondre aux enjeux métier (prévision, segmentation, automatisation).  
* Accompagner des communautés DATA et les métiers à l'adoption des bonnes pratiques à travers : le cadrage des cas d'usages, la conduite de méthodologie expérimentale, des ateliers d'acculturation et d'idéation, le transfert de compétences aux équipes en place.  
* Réaliser une veille continue et partager sur l'état de l'art de la Data Science et les offres de Cloud Provider, pour enrichir nos projets et contribuer à l'intelligence collective  
* Valoriser notre partenariat Microsoft en intégrant les dernières innovations technologiques Azure dans nos solutions et en représentant Valoway lors d'évènements, webinaires et communications.    
Nos principaux environnements techniques :     
* Langages : Python, SQL, Spark, R.  
* Outils de développeur : IDE, GIT.  
* Visualisation : Power BI, Tableau Software, Google Data Studio, Looker.  
* Librairie de DeepLearning : Keras, TensorFlow, Pytorch       
  
Vous souhaitez en savoir plus sur le poste de Data Scientist chez Valoway ? C'est notre équipe qui en parle le mieux : Interview de Pierre, manager du pôle IA au sein de Valoway 
  
Ce que nous proposons :   
* Un salaire indicatif entre 50 K€ et 60 K€ brut annuel (selon expérience et profil). 
* RTT et carte restaurant SWILE. 
* Un environnement agile, avec un mode de travail hybride en fonction des sujets à mener (bureaux Valoway, chez le client, télétravail).  
* Un management de proximité et des perspectives de montée en compétences avec un accompagnement individualisé.  
* Une entreprise à taille humaine et une approche basée sur la proximité, avec nos clients et nos collaborateurs.     

Profil recherché:

Vous avez une expérience de minimum 5 ans, incluant :  
* Une participation active à des projets embarquant des briques d'IA et/ou de Machine Learning, couvrant le cadrage, le développement et l'industrialisation. 
* Une expérience sur les environnements Cloud, idéalement Microsoft Azure.  
* Une capacité à vulgariser les solutions techniques pour des équipes métiers et des décideurs, avec une approche orientée service et succès client.   
  
Nous rejoindre en tant que consultant.e chez Valoway, c'est également un état d'esprit :   
* Autonomie dans la relation client 
* Esprit d'initiative et curiosité 
* Collaboration et sens du partage 
* Mobilité pour répondre aux besoins de nos clients (déplacements possibles)  
  
Ce poste vous correspond ? Vous souhaitez en savoir plus ? Adressez-nous votre candidature !  
  
Notre processus de recrutement pour ce poste :  
* Un premier échange avec Emma, notre RH, pour comprendre votre projet.  
* Un second échange technique et culturel avec nos consultant.e.s pour découvrir notre quotidien et vous embarquer dans notre vision ! 
* Une dernière rencontre avec Louis-Vincent (fondateur) et Gwénolé (directeur) pour vous partager les enjeux de Valoway.  
La durée moyenne du processus de recrutement est d'un mois et peut s'adapter en fonction de vos obligations, nous sommes flexibles !","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Valoway,5 An(s),CDI,False
