id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
163BYWR,https://candidat.pole-emploi.fr/offres/recherche/detail/163BYWR,2023-10-11,Offre d'emploi Data Scientist Senior spécialisé en Python/Machine Learning (H/F) - 92 - NEUILLY SUR SEINE - 163BYWR | Pôle emploi,92 - NEUILLY SUR SEINE,"BLIINK est une entreprise technologique en pleine croissance, spécialisée dans la publicité contextuelle en ligne. Née en 2018, notre mission est d'offrir aux marques une expérience publicitaire pertinente et intégrée à l'aide de notre technologie unique de ciblage. Nous utilisons l'intelligence visuelle pour une analyse précise de l'environnement média premium, allant du texte aux images, vidéos et métadonnées.

En intégrant l'équipe data de BLIINK en tant que Data Scientist, vous jouerez un rôle clé dans le développement de nos outils basés sur l'IA, contribuant à l'optimisation de l'expérience utilisateur et publicitaire de BLIINK.

Missions
- Leadership dans le développement et l'optimisation de nos algorithmes d'analyse contextuelle multilingues
- Conception et mise en œuvre de modèles prédictifs et d'analyses avancées
- Collaborer étroitement avec les équipes métier pour comprendre leurs besoins et proposer des solutions data-driven
- Évaluation de la qualité des données, leur préparation et transformation pour les analyses
- Rédaction de rapports détaillés, documentation et présentations pour les parties prenantes

Profil recherché
- Diplômé(e) d'une formation Bac +5 en Data Science, statistiques, ou un domaine connexe
- 3 à 5 ans d'expérience en tant que Data Scientist, idéalement dans le domaine de la publicité en ligne ou des médias
- Maîtrise confirmée de Python et de son écosystème pour la Data Science (pandas, scikit-learn, etc.)
- Expérience en NLP, Resnet, CNN ou autres domaines de Machine Learning est fortement appréciée
- Compétences en Docker, CI/CD, Flask sont un plus
- Fortes compétences en communication et en gestion de projet
- Autonome, rigoureux(se) et précis(e), avec un fort esprit d'équipe
- Aptitude à apprendre rapidement et à s'adapter à un environnement en rapide évolution

Si vous êtes passionné(e) par les défis liés à la Data Science et souhaitez contribuer activement à l'évolution d'une entreprise innovante, n'hésitez pas à nous faire parvenir votre candidature.","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,55000.0,65000.0,Bliink,48 mois,Contrat à durée indéterminée,False
163CBQJ,https://candidat.pole-emploi.fr/offres/recherche/detail/163CBQJ,2023-10-11,Offre d'emploi DATA ENGINEER en NLP (H/F) - 75 - PARIS 19 - 163CBQJ | Pôle emploi,75 - PARIS 19,"Vos principales missions :
-	Conception et développement des systèmes de collecte des données sur le web.
-	Intégration des données en utilisant PostgreSQL.
-	Preprocessing des datasets en utilisant Spacy et NLTK
-	Utilisation des méthodes de calcul de similarité textuelle avancées.
-	Utilisation des APIs pour l'annotation des données.
-	Utilisation des ontologies spécialisées pour l'annotation comme ESCO et O*NET.
-	Entraînement et évaluation du modèle Named entity recognition (NER) avec SPACY.
-	Mise en œuvre des Rest API en utilisant GITLAB.
-	Etablissement des tests unitaires et d'intégrations avec Pytest et Postman.
-	Visualisation des résultats en utilisant la bibliothèque Dash.
-	Maintenance des modèles entrainés et des API réalisés sur le serveur OVH.

Profil
-	Issu d'un Bac+5 en intelligence artificielle
-	Expérience sur le domaine du traitement automatique du langage naturel - NLP en utilisant Spacy et NLTK (obligatoire)
-	Expérience avec de 2 ans au minimum Sélénium et Beautifulsoup pour la collecte des données sur le web.
-	Expérience sur l'établissement des pipelines du traitement des données textuelles en utilisant GITLAB CI/CD (obligatoire)
-	Expérience de 2 ans au minimum dans l'intégration des API d'annotation des datasets textuelles 
-	Fine tuning des modèles d'extraction d'informations textuelles avec BERT
-	Connaissance obligatoire de la bibliothèque Dash pour la visualisation des données 
-	Connaissance en méthodologie Scrum
-	Pratique d'un anglais professionnel est obligatoire
2 à 3 jours de télétravail envisagé","
Contrat à durée indéterminée

Contrat travail
",38H30 Travail en journée,30000.0,35000.0,Csd,2 ans,Contrat à durée indéterminée,False
3972045,https://candidat.pole-emploi.fr/offres/recherche/detail/3972045,2023-10-10,Offre d'emploi Data scientist (H/F) - 59 - LILLE - 3972045 | Pôle emploi,59 - LILLE,"Notre équipe fait partie du domaine HR et est en charge du BUILD et du RUN des produits digitaux des domaines HR et RSE

Au sein du domaine de paie et comptabilisation des temps nous avons lancé un projet. Ce projet consiste en la mise en oeuvre de deux projets digitaux SAAS :
- (GTA: gestion des temps et activités)
- (Planification des collaborateurs)

La mission concerne l?outil de planification et consiste en :

- Recueillir auprès des managers magasins et entrepôts leur mode de fonctionnement actuel de planification de leurs collaborateurs.
- Identifier les différents modèles de charge existants.
- Pour chaque modèle de charge : identifier les datas à prendre en compte et leurs sources, définir les algorithmes de calcul des effectifs nécessaires.
- Prototyper puis piloter le développement de ces algorithmes en partenariat avec les équipes datas
- Piloter l?intégration des données au sein de l?outil (Planification)

La mission doit se dérouler en méthodo Agile pour itérer en continu afin d?optimiser la planification des activités des collaborateurs.","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Wheel of work,Expérience exigée de 2 An(s),Profession libérale,False
3971892,https://candidat.pole-emploi.fr/offres/recherche/detail/3971892,2023-10-10,Offre d'emploi Data scientist (H/F) - 59 - LILLE - 3971892 | Pôle emploi,59 - LILLE,"Le poste à pourvoir est au sein de l?équipe Data (DS, DE, DA), et consiste à cadrer, analyser, développer, documenter, mettre en production et présenter des algorithmes liés à l?environnement du client (retail).

Le candidat choisi sera amené à intervenir auprès des Métiers (Business), exploiter, analyser et évaluer la richesse de données structurées ou non, appartenant à l?entreprise ou non, pour établir des scénarii permettant de comprendre et d?anticiper de futurs leviers Métiers ou opérationnels pour le RM.

Il est attendu du candidat une participation active dans le développement et la vie quotidienne de l?équipe Data Science en partageant et appliquant les standards du code, de l?organisation de données, des solutions d?architecture de modèles.

Les clés pour réussir dans ce poste:

Autonomie dans la gestion de projets complexes et l?excellence dans la programmation Python de haut niveau.

Capacité à communiquer efficacement avec les partenaires business

Capacité à intervenir sur les aspects techniques divers et variés de projets Data Science

Maîtrise des langages suivants : Git + Python (Pytest) + Docker + TensorFlow + APIs","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Wheel of work,Expérience exigée de 5 An(s),Profession libérale,False
3971878,https://candidat.pole-emploi.fr/offres/recherche/detail/3971878,2023-10-10,Offre d'emploi Data scientist (H/F) - 75 - PARIS 01 - 3971878 | Pôle emploi,75 - PARIS 01,"L?équipe que vous rejoindrez :
Vous rejoindrez une équipe de cinq personnes nommée Target identification dont l?objectif est d?identifier les cibles thérapeutiques les plus pertinentes pour le pipeline de découverte de médicaments de l?entreprise. L?équipe sert de point d?entrée pour les cibles, qui sont ensuite continuellement surveillées pour assurer que seuls les meilleurs atouts sont explorés.

L?équipe réalise les tâches suivantes :
- Conçoit, développe et gère les workflows d?évaluation des cibles
- Extrait de nouvelles perspectives, englobant la complexité de la chimie et de la biologie, pour guider la sélection des cibles pour les pipelines de découverte de médicaments
- Modélise ces connaissances étendues et complexes de manière innovante
- Gère un portefeuille de cibles prometteuses pour le pipeline de découverte de médicaments de l?entreprise
 
Le client recherche un(e) data scientist pour rejoindre l?équipe target identification dont le rôle sera de travailler sur le développement, la mise en ?uvre et la maintenance d?un cadre d?identification de cibles via différentes méthodes statistiques.
 
Responsabilités :

- Création, développement et maintenance d?indicateurs d?entreprise et biologiques pour l?évaluation des cibles thérapeutiques
- Support à la maintenance d?un portefeuille de cibles thérapeutiques attractives
- Transformation et analyse des données omiques et biomédicales
- Mise en ?uvre de machine learning pour extraire des informations biologiques pertinentes de diverses sources de données
- Évaluation des résultats et présentation des résultats avec les équipes de plateforme de découverte de médicaments
- Maintien à jour avec les dernières méthodologies et processus en IA et bioinformatique","
Contrat à durée indéterminée

Contrat travail
",unspecified,60000.0,80000.0,Keros group,Expérience exigée de 5 An(s),Contrat à durée indéterminée,False
3971801,https://candidat.pole-emploi.fr/offres/recherche/detail/3971801,2023-10-10,Offre d'emploi Data scientist (H/F) - France - 3971801 | Pôle emploi,France,"Dans le domaine de la Grande Distribution, nous recherchons un(e) Data Scientist H/F pour une mission située à Lille.
Vous aurez les missions suivantes :
- Réaliser des analyses statistiques.
- Développer différents algorithmes.
- Identifier les différents modèles de charge existants.
- Recueillir auprès des managers magasins et entrepôts leur mode de fonctionnement actuel de planification de leurs collaborateurs.La liste n'est pas exhaustive.","
Profession libérale

Emploi non salarié
",unspecified,unspecified,unspecified,Celad,Expérience exigée de 5 An(s),Profession libérale,False
3969801,https://candidat.pole-emploi.fr/offres/recherche/detail/3969801,2023-10-10,"Offre d'emploi Data Engineer / Data Scientist F/H - Système, réseaux, données (H/F) - 92 - NEUILLY SUR SEINE - 3969801 | Pôle emploi",92 - NEUILLY SUR SEINE,"Descriptif du poste:

En tant que Data Engineer / Data Scientist F/H vous aurez pour mission au sein de l'équipe technique de :
* Analyser et comprendre les spécifications fonctionnelles sur différents modèles d'abus de marché
* Automatiser les tests unitaires dans un pipeline Jenkins pour améliorer les algorithmes implémentés en termes d'efficacité et de performance
* Effectuer l'intégration d'un nouveau flux de données de produits financiers au sein du data warehouse en respectant le processus ETL (Extract, Transform, Load)
* Participer au développement et déploiement d'une solution permettant de lier automatiquement des données (des produits financiers) en utilisant du NLP
* Mettre en place une infrastructure pour le déploiement des modèles de machine learning
* Créer des rapports d'aide à la décision (BI) pour des fins de trading et de régulation du marché

Profil recherché:

Diplômé(e) d'une École d'Ingénieur / Master Bac+5 en informatique, vous avez une expérience significative en Data engineering / Data Science dans le domaine de la Finance de Marché.

Vous possédez également une solide maîtrise des technologies et des outils suivants : Python / Sql / PL/SQL.

Vous parlez anglais couramment.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Infogene,Expérience exigée de 5 An(s),Contrat à durée indéterminée,False
3969479,https://candidat.pole-emploi.fr/offres/recherche/detail/3969479,2023-10-10,"Offre d'emploi Data scientist, observation du paiement à bon droit F/H - Système, réseaux, données (H/F) - 75 - PARIS 14 - 3969479 | Pôle emploi",75 - PARIS 14,"Descriptif du poste:


 

 Concrètement votre futur quotidien ? 

Vous prendrez en charge, en binôme, l'ensemble des travaux autour de la thématique du paiement à bon droit. Enjeu majeur de la branche famille à la fois en termes de qualité de service rendu, mais aussi de charge de gestion, il consiste à verser en temps et en heure les sommes exactes des prestations auxquelles l'allocataire a droit.

Ainsi, dans le cadre de la certification des comptes de la branche, vous serez en charge du calcul et de l'analyse des indicateurs de risque résiduel qui estiment les masses financières versées ou non versées à tort, une fois le processus de contrôle terminé et lorsque l'ensemble du dispositif de maîtrise des risques a été déployé.
Vous conduirez également des études pour estimer la fraude totale, la fraude détectée mais aussi la fraude évitée pour éclairer le département de la maitrise des risques en charge de la politique de contrôle.

Vous assurerez le suivi des indus (montants payés à tort) et des rappels (montant payés en retard) et en analyserez les déterminants.

Enfin, vous présenterez les résultats de vos travaux dans des publications (type 4 pages) et lors de présentations internes et externes.

 

 



Profil recherché:


Etes-vous notre prochain(e) Statisticien(ne) / Data scientist ?

Vous vous reconnaissez dans les qualités et compétences suivantes :
* Maîtrise des méthodes statistiques (technique de sondage, modèles de durée de survie.), des techniques de data science et de la modélisation des données ;
* Maîtrise du logiciel R dans un environnement distribué et, idéalement, connaissance de SAS ;
* Appétence pour les données sociales ;
* Qualités relationnelles, goût du travail en équipe ;
* Rigueur (les échéances liées à la certification des comptes sont impératives) ;
* Sens de l'innovation.

Formation

Vous êtes titulaire d'un diplôme d'ingénieur (ENSAI, ENSAE) ou d'un Master 2 de statistique et/ou big data.

Une première expérience significative (3 ans minimum) est fortement souhaitée.

Et la rémunération ?

Une rémunération annuelle brute à partir de 42,6K€ (versée sur 14 mois) en fonction de votre expérience et de votre rémunération actuelle.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Cnaf,Expérience exigée de 3 An(s),Contrat à durée indéterminée,False
3967747,https://candidat.pole-emploi.fr/offres/recherche/detail/3967747,2023-10-10,"Offre d'emploi Data Scientist F/H - Système, réseaux, données (H/F) - 92 - LEVALLOIS PERRET - 3967747 | Pôle emploi",92 - LEVALLOIS PERRET,"Descriptif du poste:

Pour renforcer le pôle&nbsp;IA &amp; Big Data de notre client nous recrutons en CDI&nbsp;un(e)&nbsp;Data Scientist (H/F) qui interviendra en assistance dans le domaine du développement de nouvelles pratiques en matière d analyse de données :
- En faisant évoluer les techniques d analyses de données tout en s appuyant sur de nouveaux outils et de nouvelles méthodes ;
- En développant des applications data robustes répondant aux besoins métiers des inspecteurs ;
- En renforçant la culture de l analyse de données auprès de l Inspection Générale et de la filière audit ;
- En automatisant et industrialisant l utilisation de la donnée ;
- En s appuyant, sur la création de datalakes/datamart mais aussi de serveur de calcul pour réduire le temps consacré à l acquisition des données et accroître le temps de contrôle et d exploitation.
Composé de 15 personnes, l équipe Data de notre client&nbsp;développe des outils afin de mieux équiper les inspecteurs et d accélérer leur travail. Certains de ces outils alimentent des indicateurs clés d aide à la décision. A date, ces outils sont basés sur des données décentralisées dont l extraction se fait manuellement - la mise en place d une base de données dédiée pourra être envisagée. Les traitements associés aux calculs des indicateurs nécessitent d être revus et industrialisés (en Python) afin d améliorer la scalabilité, la sécurité, la robustesse et les performances.
Des échanges avec les métiers sont nécessaire afin d identifier les règles de gestions évolutives associées à ces outils.
Soucieux de l épanouissement de nos collaborateurs, nous vous confions des responsabilités en accord avec vos compétences et vos aspirations professionnelles&nbsp;!

Profil recherché:

Ingénieur(e)&nbsp;grandes écoles ou&nbsp;diplômé(e) d'une formation de niveau BAC+5, vous justifiez de minimum&nbsp;2 années d'expérience&nbsp;sur un poste de Data Scientist.
Vous devez être :
- À l écoute des besoins des utilisateurs finaux ;
- Curieux et efficace dans la prise en main de nouveaux outils ;
- Rigoureux dans ses analyses ;
Expertises spécifiques
Backend, automatisation des pipelines de données :
- Expérimenté en Python ;
- Expérimenté en text mining, NLP, machine learning, deep learning.
Stack technique
- Requis : Python (pandas, numpy, pytorch), git, SQL ;
- Optionnel : GCP.
Compétences
- Autonome, adaptable, travail en équipe.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Km ingenierie,Expérience exigée de 2 An(s),Contrat à durée indéterminée,False
3965585,https://candidat.pole-emploi.fr/offres/recherche/detail/3965585,2023-10-10,Offre d'emploi Analyste développeur - data scientist F/H - Informatique de gestion (H/F) - 67 - STRASBOURG - 3965585 | Pôle emploi,67 - STRASBOURG,"Descriptif du poste:
L'arrivée à maturité de solutions informatiques permettant un traitement automatique du langage naturel ainsi qu'un apprentissage par l'exemple a ouvert à Crédit Mutuel Alliance Fédérale de nouvelles perspectives pour mieux assister les collaborateurs et mieux servir leurs clients.

Le Groupe a donc décidé d'investir fortement dans l'informatique cognitive : nous avons été la première entreprise à mettre en œuvre la technologie IBM Watson en France.
Plusieurs solutions dites « cognitives » ont ainsi été déployées : Assistants Virtuels (chatbot), Analyseurs d'emails, Assistant Vocal téléphonique.

Au sein de l'équipe en charge de concevoir, déployer et maintenir les services en Machine Learning liés aux solutions cognitives du groupe, vos missions seront les suivantes :
* Réaliser des études initiales pour évaluer le coût et les gains potentiels d'utilisation du Machine Learning
* Concevoir des algorithmes et des modèles performants répondant aux différents besoins métier
* Concevoir et rédiger des spécifications fonctionnelles et techniques
* Gérer les demandes d'évolution, organiser les déploiements, le suivi et la maintenance en production
* Travailler en mode projet dans le respect du Système de Management de la Qualité
* Assurer un travail de vieille scientifique notamment via l'animation de formations internes

Profil recherché:
Diplômé d'un Bac+5 scientifique, vous possédez une expérience professionnelle de minimum 3 ans en développements en Python et possédez une réelle expertise en Machine Learning/Deep Learning. Vous savez faire preuve d'autonomie en conception et évaluation d'algorithmes et de modèles.
Vous avez déjà travaillé en méthodologie de développement agile et vous maîtrisez l'anglais écrit et parlé. Autonome et organisé(e), vous faites preuve d'initiatives et d'esprit de synthèse. Vous possédez de bonnes qualités relationnelles et aimez travailler en équipe. Vous avez le souci du respect des normes et standards qualité.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Euro-information developpements,Débutant accepté,Contrat à durée indéterminée,True
