id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
1133012,https://candidat.pole-emploi.fr/offres/recherche/detail/1133012,2024-02-09,Offre d'emploi Docteur R&D - Data Scientist Données Médicales (APN2) F/H - Projets scientifiques et techniques (H/F) - 75 - PARIS 08 - 1133012 | Pôle emploi,75 - PARIS 08,"Descriptif du poste:

Dans le cadre de son développement et du renforcement de son équipe R&D (5 personnes), la société souhaite aujourd'hui recruter un profil Docteur (H/F) R&D expert en analyse de données de type séries temporelles et/ou données acoustiques, en particulier par des méthodes d'apprentissage profond (Deep Learning).
Vos missions seront les suivantes :
* Acquisition, prétraitement et augmentation (GAN) de données cliniques.
* Conception, entraînement et validation de réseaux de neurones (régression / segmentation / classification de séries temporelles) pour la détection d'évènements rares (ex : classification sommeil/éveil, détection d'événements respiratoires, segmentation du ronflement, .)
* Transfer Learning via des bases de données similaires.
* Plus généralement :
* Participation à des études de cadrage, architecture technique et rédaction de spécifications.
* Communications scientifiques dans des conférences et congrès internationaux
* Veille technologique.

Profil recherché:

Nous cherchons un candidat disposant en particulier des compétences suivantes :
* Docteur en Informatique (Deep Learning), ayant eu lors de l'expérience de thèse et/ou post-doctorat, à traiter de données de type séries temporelles ou acoustiques (détection/classification de sons, signaux acoustiques, reconnaissance de la parole, .).
* Maîtrise de Python pour implémenter les méthodes et algorithmes imaginés (Keras, Tensorflow idéalement ou Pytorch).
* La connaissance des GAN (dans le cadre de l'augmentation des données) est un plus.
* Une expérience dans l'analyse de données médicales de type ECG, accéléromètre est un plus.
* Vous avez à cœur de fournir un code de qualité et avez idéalement pu expérimenter le fait de travailler dans un environnement partagé (GitHub).
 
Notre client recherche des collaborateurs engagés et dynamiques.
Vous êtes curieux, créatif et force de propositions, vous intégrerez une structure à taille humaine, au tout début d'une aventure qui saura vous faire évoluer et travailler sur des projets complexes et diversifiés.
La confiance, l'autonomie, l'engagement, l'envie de partager, d'innover et de s'améliorer sont autant de savoirs être et de valeurs essentielles.
 
 
Si vous pensez être cette personne, nous vous invitons à nous faire parvenir votre CV et lettre de motivation par mail sous la référence APN2.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Rd2 conseil,Débutant accepté,Contrat à durée indéterminée,True
1132859,https://candidat.pole-emploi.fr/offres/recherche/detail/1132859,2024-02-09,"Offre d'emploi Ingénieur, Data scientist - Contrôle de Gestion F/H - Système, réseaux, données (H/F) - 67 - STRASBOURG - 1132859 | Pôle emploi",67 - STRASBOURG,"Descriptif du poste:

Vous intégrez au sein de la Direction Comptes et Réassurance, le service du Contrôle de Gestion qui est en chargedes travaux relatifs au Plan à Moyen Terme et aux prévisions de résultat et de l'activité,de l'analyse des résultats en normes locales et internationales,du suivi de l'activité du groupe,des missions relatives à la répartition, à l'analyse et au budget des frais généraux,et de la communication financière.
Vous contribuez à établir le reporting et les études nécessaires au pilotage des sociétés du groupe en France comme à l'étranger. Vous êtes amené(e) à travailler de manière transverse sur l'ensemble des branches d'activité en relation étroite avec l'ensemble des fonctions du groupe, et à maitriser l'ensemble des modèles économiques qui régissent le secteur de l'assurance.
Plus particulièrement, vos missions et responsabilités sont les suivantes :
* Vous concevez et développez les outils de reporting de référence du contrôle de gestion,
* Dans ce cadre, vous proposez les évolutions des modèles et programmes existants et accompagnez la transformation du système d'information,
* Vous participez activement aux différents travaux de prévision es résultats.

Profil recherché:

Vous êtes ingénieur, actuaire, data scientist (économétrie, statistiques appliqués) ou vous justifiez d'une expérience professionnelle réussie en algorithmie / programmation informatique.
Vous avez une parfaite maitrise de la suite Office, y compris le langage VBA.
Une maitrise du langage SAS serait un plus.
Vous êtes dynamique, enthousiaste et reconnu pour votre aisance relationnelle et votre capacité à travailler en équipe. Vous êtes doté(e) d'un bon esprit d'analyse et de synthèse. Vous faites preuve de rigueur et d'organisation.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Acm gie,Expérience exigée de 2 An(s),Contrat à durée indéterminée,False
1131472,https://candidat.pole-emploi.fr/offres/recherche/detail/1131472,2024-02-09,Offre d'emploi UNE OU UN DATA SCIENTIST (H/F) - 75 - Paris (Dept.) - 1131472 | Pôle emploi,75 - Paris (Dept.),"Référence CSP: 2024-1471390 
 Le département Analyse et Sciences des Données intervient notamment dans les domaines suivants :
- la collecte des données et l'analyse de la faisabilité des traitements ;
- le traitement des données (préparation, redressement, échantillonnage, scrapping.) ;
- l'analyse statistique (statistiques descriptives, économétrie, machine learning...) ;
- l'audit des données et des méthodologies quantitatives employées par l'administration ;
- la visualisation (infographies, cartographies, mise en place d'applications interactives Shiny...) ;
- l'ouverture des données ;
- l'animation autour de l'utilisation des données (communauté numérique, hackathons, ...).

Missions
Sous l'autorité du responsable du pôle « données », la·le data scientist aura pour mission
 d'apporter une expertise technique et méthodologique aux équipes de contrôle et de réaliser
 notamment les activités suivantes :
- Développer des requêtes, extraire des données, manipuler des données, pour faciliter leur
 exploitation par les équipes de contrôle des chambres thématiques ou juridictionnelles de la Cour à des fins d'analyse ;
- Réaliser des analyses statistiques et économétriques ;
- Renforcer sa connaissance du secteur public et notamment des finances publiques ;
- Utiliser des méthodes de data visualisation pour partager le résultat de ses analyses ;
- Développer des outils/applications pour les équipes de contrôle facilitant l'utilisation des
 données quantitatives et textuelles ;
- En cas d'appétence pour le sujet, proposer des cas d'usages de machine learning appliqués aux juridictions financières ;
- Apporter une expertise quantitative aux évaluations de politique publique effectuées par la Cour ou les chambres régionales et territoriales des comptes ;
- Assurer une veille et identifier les données pertinentes à acquérir et à traiter pour les
 travaux de la Cour des comptes ;
- Collaborer avec les organismes fournisseurs de données (INSEE, ministères,...) pour
 faciliter l'acquisition de ces données ;
- Assurer des animations autour de l'utilisation des données (organisation de hackathons,
 rassemblement de la communauté data de la Cour) ;
- Rendre compte de ses travaux sous forme d'annexes quantitatives et méthodologiques, pouvant être annexés aux rapports de la Cour.
- Possibilité de participer à des missions d'analyse des risques et d'audit de performances ou de terrain, voire d'audit financier, sur les entités et programmes qui relèvent de la responsabilité de la Cour dans le cadre de son mandat d'Audit Externe des Nations Unies (déplacements à prévoir).","
Contrat à durée déterminée - 36 Mois

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Expérience exigée de 2 An(s),Contrat à durée déterminée - 36 Mois,False
1122506,https://candidat.pole-emploi.fr/offres/recherche/detail/1122506,2024-02-09,Offre d'emploi Data Scientist Senior (H/F) - 31 - Garonne (Haute) - 1122506 | Pôle emploi,31 - Garonne (Haute),"Présentation de l'entreprise
 Éditeur français indépendant basé à Toulouse, Adelyce est leader du pilotage de la masse salariale publique.
 Avec une offre originale alliant applications innovantes et conseils d'experts, Adelyce épaule les acteurs publics dans l'optimisation de leur situation financière, et contribue ainsi à une meilleure gestion de l'argent public.
 Forte de son savoir-faire à la pointe de l'Intelligence Artificielle, Adelyce compte aujourd'hui 72 salariés. Cette dimension humaine offre un cadre de travail stimulant ; une place réelle à l'initiative et des perspectives pour chacun, dans une ambiance à la fois pro et très conviviale.
 Adelyce c'est un esprit d'équipe fort, développé par le parrainage des recrues, des hackathons, des animations de cohésion ""faites maison"", sans oublier salle de sport, soirée Vœux, Universités d'été...
 Dans le cadre de son développement d'activité, Adelyce recrute un(e) Data Scientist Senior.
 Vos missions :
 Au sein du département Recherche et Innovation, vous travaillerez sur les différents projets R&D d'Adelyce : prédiction de séries temporelles, classification supervisée et détection d'anomalies sur de larges bases de données clients. Dans ce cadre, vous serez amené à :
 - Lister et comparer les outils et techniques disponibles pour répondre à chaque problématique,
 - Implémenter et tester des solutions expérimentales,
 - Concevoir des interfaces ergonomiques de restitution des résultats et des visualisations appropriées,
 - Participer à la transmission des projets à l'équipe de Développement.
 Profil souhaité :
 Vous êtes titulaire d'un Bac +5 en mathématiques ou informatique, et vous avez au moins trois ans d'expérience sur un poste similaire.
 Autonome et rigoureux(se), vous êtes doté(e) d'une curiosité intellectuelle et d'un esprit synthétique.
 Dynamique, force de proposition, vous aimez travailler en équipe et êtes intéressé(e) par la finalité de votre mission.
 Vous maîtrisez le langage R, ainsi que les outils classiques de statistiques comme Random Forest, XGBoost, One-Class Classification, TF-IDF, les réseaux de neurones, etc. Vous êtes à l'aise avec les bases de données SQL.
 R-Shiny et des notions de data visualisation seraient également appréciées.
 Modalités du poste:
 Le poste est à pourvoir en CDI à Labège (31).
 Type d'emploi : Temps plein, CDIStatut : Cadre
 Salaire : à partir de 3 000,00€ par mois
 Avantages :
 * Épargne salariale
 * Travail à domicile occasionnel
 Programmation :
 * Du lundi au vendredi
 * Repos le week-end
 * Travail en journée
 Lieu du poste : En présentiel","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Expérience exigée,Contrat à durée indéterminée,False
1111062,https://candidat.pole-emploi.fr/offres/recherche/detail/1111062,2024-02-09,"Offre d'emploi Data scientist F/H - Système, réseaux, données (H/F) - 14 - CAEN - 1111062 | Pôle emploi",14 - CAEN,"Descriptif du poste:
Dans le cadre de la réalisation de sa mission « expertise prospective », la direction est à la recherche d'un responsable de projet ""DATA Scientist"" afin de consolider son équipe nationale et poursuivre le développement de ses projets Data Viz', tout en étant garant des normes et des standards définis par la direction.  
Le responsable de projet ""DATA Scientist"" devra collaborer avec l'équipe nationale et être en lien avec le demandeur de service (ou le client). Son savoir-faire sera principalement concentré sur la préparation, la structuration et la modélisation statistique des données pour leur intégration et leur compréhension dans les ouvrages, travaux de la direction de l'ingénierie et de l'innovation ou lors de communications. 
Dans ce cadre, 3 grandes missions sont attendues :
·        Conduite et gestion de projets : définir un groupe projet, clarifier et analyser une demande, rédiger un cahier des charges d'intervention, animation de collectifs de travail, mise en oeuvre de plan d'actions... ; 
·        Production, structuration et modélisation de données : gestion et traitement de base de données, création d'indicateurs statistiques et qualitatifs, analyse de données, consolidation et synthèse de l'information... ; 
·        Mise en place d'algorithmes pour la création et la qualification d'outils d'aide à la décision.
 
Au sein de la direction prospective, le responsable de projet ""DATA Scientist "" interviendra sur les tâches suivantes :
- Participer aux échanges avec les équipes métiers pour définir leurs attentes, de leurs problématiques d'accès à la donnée, et de compréhension de celle-ci.
- Déterminer les moyens de valoriser le patrimoine de données (Datalakes / Data warehouses)
- Déterminer une solution adaptée dans le respect des exigences de sécurité

·        Optimiser le traitement et l'automatisation de la collecte des données (gestion /intégration des API),
·        Préparer et structurer les données au moyen de différents traitements de nettoyage, normalisation, et enrichissement (SD Box Insee : Python - R - SAS / Tableau PREP)
·        Organiser le stockage des données en collaboration avec la DSI afin qu'elles soient exploitables par l'équipe projet
·        Exécuter les tests et consigner les résultats : rapports de synthèse et suivi des anomalies
- Assurer les diagnostics et la résolution des dysfonctionnements
- Participer au comité de pilotage du développement de l'outil final de Data Viz'

Profil recherché:
Vous êtes issu(e) d'une formation de type BAC+5, formation universitaire, formation en Informatique décisionnelle, data science, statistiques ou un diplôme d'ingénieur avec double compétence en mathématiques et informatique ou spécialisation big data, science des données... 
Vous avez une expérience de 3 ans minimum dans la production et la gestion des données mais aussi pour l'extraction  des portraits de données data visualisation
 Vous êtes force de proposition dans la structuration, l'exploitation et la modélisation des données.
Vous justifiez de compétences techniques, statistique et informatique de collecte et de traitement de données,
Maîtrise des outils et méthodes de projection et de logiciel 
Maîtrise de logiciels statistiques (STATA, SAS,....) Maîtrise de différents langages de programmation (Python, SQL,...)
Maîtrise des méthodes en conduite de projet
Capacité d'écoute et d'intégration à sa production des besoins clients.
Aisance rédactionnelle et avoir un goût pour les chiffres et les statistiques.
Vous savez faire preuve de rigueur et d'organisation, et êtes reconnu(e) pour votre réactivité et esprit d'analyse.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Afpa,Expérience exigée de 2 An(s),Contrat à durée indéterminée,False
169DLTC,https://candidat.pole-emploi.fr/offres/recherche/detail/169DLTC,2024-02-09,Offre d'emploi Consultant Data (H/F) - 13 - AIX EN PROVENCE - 169DLTC | Pôle emploi,13 - AIX EN PROVENCE,"Qui sommes-nous ?

Nous sommes passionnés par les nouvelles technologies, et vous ? 

Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.



Pourquoi choisir Amiltone ? 

Amiltone, plus qu'une entreprise, un état d'esprit !

Notre objectif ? Votre épanouissement professionnel !

Nous avons à cœur de :

Vous accompagner au mieux au travers d'un suivi personnalisé

Vous faire monter en compétences en vous proposant des formations tout au long de      votre carrière

Comprendre vos besoins et respecter nos engagements

Vous proposer des missions de qualité avec des technologies innovantes

Cultiver votre potentiel grâce à notre programme de développement personnel Addvise



Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights...

Vos missions ?

Intégré à nos équipes, vous assurez les missions suivantes : 

Analyse du besoin client

Proposition d'une architecture au client

Développement de flux (ETL/ESB)

Implémentation du stockage (Relationnel/NoSQL)

Proposition de restitution (Reporting/BI/Supervision)

Préconisation matérielle selon besoin du client

Implémentation chez le client



La Stack Technique :

 Outils :

ETL/ESB : Talend, WSO2

BI : Qlik, PowerBI, Jasper, BIRT, SpagoBI, Knowage

Bases de Données :

Relationnelle : Oracle, SQL Server, MySQL PostgreSQL

NoSQL : MongoDB, Cassandra, InfluxDB, Elastic, SolR 

Traitements Batch (ETL) et Bus de données

Connaissance SI (infrastructure, réseau, Haute Dispo, Amazon)

Connaissance développement : Java, Html, Javascript, Python, script Shell

Alors ? Prêt à devenir Amiltonien ? 

N'hésitez pas à postuler si vous vous reconnaissez :

Diplômé Bac+4/5 (Master ou école d'ingénieur) vous disposez de 2 ans d'expérience en tant que Consultant Data.

Plus que des compétences techniques, vous avez une curiosité naturelle et un fort esprit d'analyse. Vous pouvez monter en compétences en autonomie et prendre en main de nouveaux projets pour répondre aux problématiques que vous gérez.



Nos postes sont ouverts aux personnes en situation de handicap.","
Contrat à durée indéterminée

Contrat travail
",35H Travail en journée,26000.0,36000.0,Amiltone,3 ans,Contrat à durée indéterminée,False
1132088,https://candidat.pole-emploi.fr/offres/recherche/detail/1132088,2024-02-09,"Offre d'emploi Ingénieur Data F/H - Système, réseaux, données (H/F) - 21 - DIJON - 1132088 | Pôle emploi",21 - DIJON,"Descriptif du poste:
Intégré au Marketing de la société, vous travaillez au sein d'un pôle dédié à la Data Client, en complémentarité d'une équipe de datascientists et d'experts du marketing. Ainsi, vous serez un véritable appui au développement des modèles de datascience. Vous serez responsable de la création des architectures et de l'infrastructure data analytique et de sa maintenance opérationnelle.

A ce titre, vous assurez la conception de bases de données, leurs évolutions, l'architecture, la modélisation des données, l'aide à la data préparation et industrialisez, automatisez et mettez en production les traitements sur les données.

De plus, vous déployez et maintenez des infrastructures serveurs, par l'installation des middlewares et la configuration des serveurs (Windows & Linux).

De même, vous accompagnez les équipes et assurez une veille technologique sur les outils autour de la data, ainsi que travaillez en collaboration avec les interlocuteurs internes et externes du siège régional.

Finalement, vous mettez à disposition des flux de données (interne et/ou externe) pour exploitation par les datascientists et assurez une assistance et la montée en compétences des membres de l'équipe dans la mise en pratique de développements informatiques.



Profil recherché:
De formation BAC +5, vous avez au moins 5ans d'expérience dans la conception de bases de données et vous avez une forte expertise sur le stockage des données et des outils ETL.

Vous avez une vision systémique, technologique et globale des systèmes d'information ainsi que des notions avancées en PHP/JavaScript/SQL.

Par ailleurs vous disposez de connaissances en R/Python/Go ainsi qu'en architecture logicielle et dans les outils Big Data (Hadoop, Spark, HDFS, ...) sont un plus.

En outres, vous avez une expérience en administration système et connaissez au moins un système d'exploitation parmi Windows et Linux.

Enfin, vous avez déjà travaillé sur un outil de gestion des flux de type Kafka, Apache Flink.","
Contrat à durée indéterminée

Contrat travail
",unspecified,unspecified,unspecified,Harry hope,Expérience exigée de 5 An(s),Contrat à durée indéterminée,False
1105875,https://candidat.pole-emploi.fr/offres/recherche/detail/1105875,2024-02-09,Offre d'emploi Géomaticien H/F - 69 - VILLEURBANNE - 1105875 | Pôle emploi,69 - VILLEURBANNE,"Rejoignez un acteur majeur de la transition énergétique. Dalkia, filiale du groupe EDF, propose à ses clients, Collectivités et Entreprises, des solutions innovantes pour réaliser des économies d'énergie et favoriser le développement des énergies renouvelables.
Dalkia Centre Est recherche, pour son Agence Centre Expertise Réseaux, un(e) Géomaticien/ne en CDD d'une durée de 6 mois à partir du 1 Avril 2024. Le poste sera basé à Villeurbanne (69).
Votre rôle est d'assurer la mise à jour de la base de donnée SIG des réseaux de chaleur des régions Centre-Est et Méditerranée.
Vos missions :
- Traitement et intégration des nouveaux plans de récolement/géodétection (DWG) dans la base de données SIG suivant les règles du métier
- Mise à jour du SIG existant à partir des plans historiques des réseaux
- Garantir la cohérence et la qualité des données dans la base de données SIG
- Création de contenus cartographiques (maîtrise des règles de la sémiologie graphique, mise en page et conception de cartes et d'atlas)
Vos connaissances et compétences :
- Formation en géomatique ou Systèmes d'Informations Géographique : niveau BAC+2 à BAC+3
- Maîtrise des logiciels de traitements SIG (ArcGIS Pro / Arcmap et QGIS)
- Connaissances des relations topologiques d'une géodatabase ArcGIS
- Connaissances de la librairie Python Arcpy
- Connaissances des logiciels de type ETL (FME) et de DAO (AutoCAD)
Administration d'un SIG
Maîtrise des logiciels de traitements SIG
Vos aptitudes et qualités :
- Forte autonomie
- Sens de l'organisation, rigueur et méthode
- Qualités relationnelles
Une connaissance dans les notions des métiers de l'énergie serait un plus.
En intégrant Dalkia, vous rejoigniez un collectif de femmes et d'hommes passionnément engagés dans la mise en œuvre des énergies de demain :
Un travail utile, qui a du sens et qui valorise vos compétences,","
Contrat à durée déterminée - 6 Mois

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Débutant accepté,Contrat à durée déterminée - 6 Mois,True
169CFNT,https://candidat.pole-emploi.fr/offres/recherche/detail/169CFNT,2024-02-09,Offre d'emploi Chargé d'analyse et d'expertise / Data Engineer / Data Scientist (H/F) - 94 - ST MAURICE - 169CFNT | Pôle emploi,94 - ST MAURICE,"Santé publique France est impliquée dans une action concertée européenne dédiée à la surveillance des eaux usées (EU Wastewater Integrated Surveillance for Public Health). La personne recrutée, placée sous l'autorité du responsable d'unité, aura pour mission de réaliser des travaux incombant à l'agence dans le cadre de ce projet européen. Il/elle travaillera en relation étroite avec les partenaires européens du projet et, en interne, avec les autres épidémiologistes de l'agence impliquée dans ce projet. Il/elle participera essentiellement au WP6 et notamment à la tâche 6.2 qui doit permettre, d'une manière structurée, de mettre en place un inventaire des méthodes statistiques appropriées; couvrant toutes les procédures et mesures/indicateurs statistiques des contrôles de qualité des données, de la préparation des données, de la normalisation/standardisation ; du lissage, de la prédiction, des aspects d'alerte précoce ; de l'agrégation des résultats ; du traitement des valeurs manquantes. Cette tâche fournira également des composants d'analyse fonctionnels et utilisables par les Etats-Membres, et se concentrera sur les aspects de la gestion des données (en collaboration avec le WP1). 
Dans ce cadre, il/elle aura pour mission principale de traiter les données issues du système de surveillance SUM'EAU. Le traitement des données est à comprendre au sens large du terme, incluant la gestion de bases de données, l'écriture de scripts, leur optimisation, la construction d'indicateurs épidémiologiques (en utilisant des méthodes adaptées statistiques ou de data science) et la restitution de ces indicateurs (bulletins, tableaux de bord). Un accent pourra être porté, en tant que de besoin, sur le développement et le maintien d'outils et de processus pour être en capacité de produire quotidiennement des indicateurs en réponse à une situation d'alerte et/ou de crise. Il/elle contribuera également au développement et à l'implémentation de méthodes et outils innovants dans le champ du traitement des données de santé.

Les activités du chargé d'analyse et d'expertise seront notamment :  
-	Assurer la gestion, le traitement et la restitution des données : 
- Accompagner le système de gestion des données et des pipelines
- Organiser et préparer les données 
- Explorer et proposer les moyens technologiques pour améliorer la qualité et la fiabilité des données
- Identifier les possibilités d'acquisition et d'intégration de nouvelles données
- Construire les indicateurs de surveillance (définition, implémentation, interprétation) en R, Python ou Jupyter Notebook
- Réaliser des analyses statistiques
- Développer des outils pour la restitution des indicateurs : mise à disposition interne et externe (exports, API), outils de visualisation (applications R-Shiny - Dash - Bokeh) et de reporting (RMarkdown)
- Rédiger des notes méthodologiques pour décrire les traitements réalisés
-	Participer aux réunions de travail dans le cadre de la Joint Action WISH
-	Contribuer à l'écriture des différents livrables de la Joint Action et notamment de la tâche 6.2
-	Contribuer à la réflexion sur la modernisation des outils de data engineering / data science pour la préparation, l'exploration, le stockage, l'analyse et la restitution des données
-	Contribuer à la valorisation des résultats en lien avec les épidémiologistes et les statisticiens :
- Communiquer des résultats 
- Rédiger des bulletins, rapports d'études et d'articles scientifiques.
Il/elle sera amenée à représenter l'agence auprès des partenaires institutionnels et scientifiques impliqué dans cette action concertée. Des déplacements en France et en Europe sont à prévoir.

Profil recherché : 
- Bac+5 dans le domaine du traitement des données, de l'informatique ou des statistiques/data sciences exigé. Bac +8 souhaité.
- Maîtrise de la programmation sous R et/ou Python dans des environnements virtuels (conda)","
Contrat à durée déterminée - 20 Mois

Contrat travail
",35H Travail en journée,34617.0,69765.0,Sante publique france,3 ans,Contrat à durée déterminée - 20 Mois,False
1093290,https://candidat.pole-emploi.fr/offres/recherche/detail/1093290,2024-02-08,Offre d'emploi DATA SCIENTIST - VIGINUM H/F - 75 - Paris (Dept.) - 1093290 | Pôle emploi,75 - Paris (Dept.),"Référence CSP: 2024-1469518 
 Au sein de la division « Opérations », le pôle « Technique » fournit l'ensemble des appuis techniques à l'activité opérationnelle de recherche en sources ouvertes. Le/La data scientist :
Appuie les analystes du pôle acteurs et menaces pour collecter et analyser des données en source ouverte provenant notamment des plateformes de réseaux sociaux pour mettre en évidence des phénomènes inauthentiques (contenus artificiels, détection de bots, détection de coordination, etc.) ;
Développe des outils pour permettre aux analystes de mener des analyses de données en autonomie ;
Développe et met en place de nouvelles méthodologies pour détecter et caractériser des comportements ou des contenus inauthentiques en s'appuyant notamment sur les développements récents en sciences des données et en IA ;
Contribue à la « code base » du datalab ;
Participe à la valorisation des travaux du datalab et du service (présentations, conférences, etc).","
Contrat à durée déterminée - 36 Mois

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Expérience exigée de 2 An(s),Contrat à durée déterminée - 36 Mois,False
