id,url,date,title,location,description,info,horaires,salairemin,salairemax,entreprise,experience,contrat,debutant
204ZJGX,https://candidat.pole-emploi.fr/offres/recherche/detail/204ZJGX,2026-03-06,"Offre d'emploi Alternance- Data Scientist, concepteur-Développeur BI F/H - 91 - EVRY COURCOURONNES - 204ZJGX | France Travail",91 - EVRY COURCOURONNES,"Au sein du service Innovation & Numérique de la Direction Régionale Ile de France Est, vous appuierez la responsable du domaine Data et animerez les experts de l'analyse de données sur l'unité.

Vous vous trouverez dans une équipe jeune et dynamique, qui vous appuiera dans la réalisation de vos missions.
Un management de proximité orienté vers l'obtention de votre diplôme.

Vos missions :

* Vous appuierez la responsable du domaine data de l'unité (mise en oeuvre du plan d'action)
* Vous aiderez les experts data de l'unité dans l'élaboration de leurs outils de visualisation des données
* Vous contribuerez à la mise en place et au déploiement d'outils de data science (en particulier Power Bi)
* Vous devrez animer l'académie de la data de l'unité, composée d'une trentaine de personnes

Pour ce poste il peut y avoir 2 choix possibles : Soit la commune de Croissy-Beaubourg, soit la commune d'Evry-Courcouronnes. 
* Une prime d'intéressement et une prime de partage de la valeur avec abondement possible,
* 30 jours de congés payés par an et 5 jours de congés supplémentaires pour révision,
* Une prime d'aide au logement jusqu'à 500 €/mois si vous devez déménager pour vous rapprocher de votre CFA, ou organisme de formation ou lieu de travail.
* Une aide au passage du permis B,
* 100 % de votre titre d'abonnement pour vos trajets quotidiens pris en charge.
* L'accès au comité central d'entreprise (vacances, activités culturelles, .).

Vous préparez un Diplôme d'Ingénieur Analyse de la Donnée Data Scientist en 2 ans.

Vos connaissances:

- Formation en statistiques, en mathématiques, en informatiques ou dans un domaine connexe.
- Connaissance des outils de data science tels que Python, R, SQL. et des outils de dataviz (ex: Power Bi).
- Connaissance des méthodologies d'analyse de données et du machine Learning.
- Vous avez prouvé votre capacité à travailler à la fois en autonomie et au sein d'une équipe.
- Vous possédez de bonnes compétences organisationnelles et analytiques et faites preuve de flexibilité, de créativité et d'analyse pour apporter des solutions aux problèmes.

Vos atouts :

- Capacité à vulgariser un contenu technique.
- Vous avez un bon esprit d'analyse et de synthèse.
- Vous avez prouvé votre capacité à travailler à la fois en autonomie et au sein d'une équipe.
- Vous possédez de bonnes compétences organisationnelles et analytiques et faites preuve de flexibilité, de créativité et d'analyse pour apporter des solutions aux problèmes. 
- Vous avez l'esprit d'équipe.

Merci de joindre à votre candidature : votre CV accompagné de vos bulletins de notes des 2 dernières années.

","
CDD - 24 Mois

Contrat apprentissage
","35H/semaine
Travail en journée",810.0,1801.0,Enedis,Débutant accepté,CDD - 24 Mois,True
9960729,https://candidat.pole-emploi.fr/offres/recherche/detail/9960729,2026-03-06,Offre d'emploi Alternance Data scientist - Puteaux (F/H) (H/F) - 92 - Puteaux - 9960729 | France Travail,92 - Puteaux,"Dans le cadre de l'évolution du mécanisme de capacité mis en place pour garantir la sécurité d'approvisionnement électrique en France, de nouveaux besoins d'outillage et d'automatisation se font jour.
Afin d'accompagner les évolutions, nous avons été sollicitée pour développer un outil à destination des autres gestionnaires de réseau de distribution (GRD) afin de les aider à tenir leurs engagements relatifs au mécanisme de capacité. Cet outil devra :
Traiter et analyser des données liées au mécanisme de capacité ;
Créer un moteur de calcul relatif aux publications règlementaires du mécanisme de capacité
Missions confiées : 
Comprendre le fonctionnement du mécanisme de capacité et les besoins spécifiques Participer à des interactions avec des parties prenantes externes (Agence ORE, GRD, RTE) dans le cadre du projet
Intégrer les besoins utilisateurs dans une logique 'user centric' lors de la conception de l'outil
Concevoir et développer un outil Python modulable et documenté ;
Mettre en place des scripts d'automatisation pour le traitement des données (import, nettoyage, calculs, génération de rapports) ;
Rédiger la documentation technique et fonctionnelle de l'outil.","
CDD - 12 Mois

Cont. professionnalisation
",unspecified,unspecified,unspecified,Unspecified,Débutant accepté,CDD - 12 Mois,True
9957235,https://candidat.pole-emploi.fr/offres/recherche/detail/9957235,2026-03-06,Offre d'emploi Data scientist - analyse de risque en exploitation h/f - 77 - Moissy-Cramayel - 9957235 | France Travail,77 - Moissy-Cramayel,"<p>Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Implanté sur tous les continents, le Groupe emploie 100 000 collaborateurs pour un chiffre d'affaires de 27,3 milliards d'euros en 2024, et occupe, seul ou en partenariat, des positions de premier plan mondial ou européen sur ses marchés. <br />
Safran est la 2ème entreprise du secteur aéronautique et défense du classement « World's Best Companies 2024 » du magazine TIME.<br />
<br />
Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance, fiabilité et respect de l'environnement. La société est notamment, à travers CFM International*, le leader mondial de la propulsion d'avions commerciaux courts et moyen-courriers.<br />
* CFM International est une société commune 50/50 de Safran Aircraft Engines et GE Aerospace.<br />
<br />
Parce que nous sommes persuadés que chaque talent compte, nous valorisons et encourageons les candidatures de personnes en situation de handicap pour nos opportunités d'emploi.<br /><br /><br /></p><p style=""font-size:1.2em;"">Descriptif mission</p><p>Au sein de la Direction des Bureaux d'Etudes Systèmes Propulsifs de Safran Aircraft Engines, le pôle Analyse de Risques en Exploitation (ARE) du service Sûreté de Fonctionnement s'occupe particulièrement de modéliser la fiabilité / sécurité des moteurs en exploitation.<br />
<br />
Dans ce cadre, vous serez amené à intervenir sur tous les produits civils et militaires de Safran Aircraft Engines certifiés ou qualifiés.<br />
<br />
Vous serez notamment en charge des activités techniques suivantes :<br />
<br />
Analyser les événements en production et en service à l'aide de modèles de survie à partir de données censurées et évaluer statistiquement les risques associés pour les flottes<br />
<br />
Réaliser les notes de justification / capitalisation<br />
<br />
Participer aux activités d'améliorations / optimisation des codes développés pour les analyses statistiques<br />
<br />
Contribuer à la captation et à l'analyse du retour d'expérience en service<br />
<br />
Participer activement au développement et à la mise en oeuvre du plan de progrès du service sur les thématiques analyses statistiques & analyse du retour d'expérience<br />
<br />
A cette fin, vous travaillerez en interface avec de nombreux acteurs au sein de l'entreprise (bureaux d'études de la Direction Technique et de la Direction Industrielle, Support Client, Marques Techniques).</p>","
CDI

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,Débutant accepté,CDI,True
9950749,https://candidat.pole-emploi.fr/offres/recherche/detail/9950749,2026-03-06,Offre d'emploi Data scientist (H/F) - 59 - Lille - 9950749 | France Travail,59 - Lille,"Bonjour et merci d'avoir cliqué sur cette offre ?

Nous recherchons un.e ML Engineer confirmé.e pour une grande entreprise sur Lille !




? Ce poste est fait pour toi si :

tu as 3 ans à minima en tant ML Engineer.


tu es expert.e en conception et industrialisation de modèles.


tu sais automatiser les entraînements et les déploiements de modèles.


tu as 5 ans d'expérience professionnelle en Python.


tu as des bases solides sur MLflow ou Kubeflow ou Vertex.


tu es familier avec l'environnement GCP et ses services.


tu as des excellentes connaissances DevOps et de bases de données SQL et NoSQL.


Idéalement tu as eu une expérience dans le retail.









Les bénéfices du poste :

? Un terrain de jeu technologique de pointe Le poste offre une exposition complète aux technologies les plus recherchées du marché : LLM, RAG, MLOps, GCP, Kubernetes ? avec une ownership réelle du cycle de vie complet des modèles, du prototype à la production.

? Un environnement d'innovation structuré L'entreprise combine l'agilité (Scrum/SAFe) d'une culture innovation avec la solidité d'un grand groupe, offrant ainsi stabilité et dynamisme pour progresser vite.







Tes missions :

Concevoir, développer et industrialiser des modèles de Machine Learning et d'IA, de la phase de prototypage jusqu'à la mise en production.


Construire et maintenir les pipelines de données et de MLOps pour automatiser l'entraînement, l'évaluation et le déploiement des modèles.


Participer activement à l'architecture et au développement des produits du domaine, notamment la plateforme MLOps et les solutions basées sur les LLM.


Assurer la scalabilité, la robustesse et la performance des solutions IA déployées, en collaboration avec les équipes Ops et Data.


Garantir la qualité du code et des modèles via des revues, des tests automatisés (unitaires, intégration) et des stratégies de monitoring.


Participer à l'élaboration de la CI/CD selon les pratiques DevOps et MLOps sur la Google Cloud Platform et Github.


Assurer une documentation complète des modèles, des pipelines et des configurations au sein du référentiel documentaire (Github / Gitbook).


Être responsable du cycle de vie complet des modèles (build et run), incluant le monitoring et la maintenance en production.









Démarrage : mi-mars, début avril.

TT: 3 jours par semaine.

Durée : 3 ans.







? Tu as envie d?un nouveau défi, entouré(e), valorisé(e), écouté(e) ?

Postule et parlons-en. Même si ce n?est pas pour cette mission, on trouvera peut-être celle qui te correspond parfaitement.





Les étapes à venir après avoir postulé :

nous étudierons ta candidature avec attention.


si elle nous intéresse, tu recevras un appel pour un premier échange de préqualification. On t?enverra un mail si on n?arrivera pas à te joindre.


Si elle ne nous intéressera pas (ça sera certainement pour une autre mission ?), on t?enverra un mail.






Merci de ton attention et à très vite pour une aventure épanouissante chez Winside ?

","
CDI

Contrat travail
",Travail en journée,40000.0,52000.0,Unspecified,5 An(s),CDI,False
9946935,https://candidat.pole-emploi.fr/offres/recherche/detail/9946935,2026-03-06,Offre d'emploi Datascientist expert en IA F/H (H/F) - 69 - Lyon - 9946935 | France Travail,69 - Lyon,"Framatome souhaite étendre sa capacité à traiter des cas d'usage IA en recrutant un.e data scientist expert en IA.En effet, la Direction SI de Framatome souhaite s'entourer d'un.e data scientist expert en IA pour l'analyse des besoins métiers et le développement d'applications en IA (Intelligence Artificielle), NLP (Natural Language Processing), CV (Computer Vision), LP (Linear Programming), ML (Machine Learning), TS (Time Series), RCA (Root Cause Analysis), DB (Database), IA GEN (Intelligence Artificielle Générative).Vos missions :- Comprendre les cas d'usage - Collecter de données- Préparer et nettoyer des données- Explorer et visualiser des données- Modéliser, développer et utiliser des modèles- Sélectionner des algorithmes : choisir les algorithmes de machine learning ou de deep learning les plus appropriés pour le problème- Entraîner des modèles : former les modèles avec des ensembles de données d'entraînement et ajuster les paramètres pour optimiser les performances.- Valider des modèles : utiliser des techniques de validation croisée pour évaluer la robustesse des modèles et éviter le surajustement.- Instancier des modèles de langage pré-entraînés (LLMs, embeddings, rerankers.) et les intégrer dans des solutions complexes de type RAG (Retrieval Augmented Generation).- Évaluer des modèles - Déployer des modèles- Surveiller et maintenir des modèles- Gérer la documentation et la communication","
CDI

Contrat travail
",unspecified,unspecified,unspecified,Unspecified,Débutant accepté,CDI,True
9945392,https://candidat.pole-emploi.fr/offres/recherche/detail/9945392,2026-03-06,Offre d'emploi Consultante/Consultant Data Scientist (H/F) - 92 - Issy-les-Moulineaux - 9945392 | France Travail,92 - Issy-les-Moulineaux,"Vos tâches Vos champs d’intervention concernent :    Le recueil, la préparation, l’exploration et l’audit des données Développer, tester et valider des modèles de machine learning, depp learning, LLNM Réaliser et maintenir la documentation des travaux réaliser (process de dévelopement, modèles, process de maintenance) Implémenter des solution de restitutions (data visualisation, web app,..) Contribuer à la mise en production de ces modèles Participer à la maintenance des modèles en production et des modèles de données","
Intérim - 3 Mois

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,Débutant accepté,Intérim - 3 Mois,True
9942950,https://candidat.pole-emploi.fr/offres/recherche/detail/9942950,2026-03-06,Offre d'emploi Ingénieur(e) R&D Data Scientist expérimenté(e) (F/H) - 44 - Nantes - 9942950 | France Travail,44 - Nantes,"RESPONSABILITÉS : 

Pour accompagner la croissance de l'activité de l'équipe MIC liée à l'exploitation et à l'analyse par Intelligence Artificielle (IA) des données CND, SHM et PHM, nous recherchons un(e) nouvel(le) ingénieur(e) R&D Data Scientist pour un contrat en CDI.
Vous aurez pour mission de renforcer l' expertise technique de l'équipe et de contribuer à nos développements industriels, c'est-à-dire :
 • Participer au montage et à la réalisation des projets de recherche élaborés avec nos partenaires industriels
 • Proposer des prestations de recherche en apportant des solutions techniques aux Clients de l'IRT JV
 • Développer et programmer des algorithmes d'analyse de données basés sur l'Intelligence Artificielle en tenant compte des besoins et connaissances métiers des équipes CND, SHM et PHM
 • Comprendre et adresser les problématiques métiers CND, SHM et PHM et les traduire dans les algorithmes d'analyse par IA
 • Déployer des algorithmes d'analyse d'images (Computer vision...) pour traiter les données d'inspection visuelle, thermique et ultrasonore... dans le cadre de contrôles industriels automatisés
 • Nettoyer, structurer et analyser les données expérimentales collectées
 • Valider la robustesse et la fiabilité (= qualifier) des algorithmes d'IA déployés dans les applications industrielles
 • Communiquer les résultats et les solutions aux équipes de l'IRT et à nos partenaires ou clients
 • Rester en veille sur les nouvelles technologies et solutions de data science, expérimenter et évaluer ces nouvelles méthodes pour dépasser les verrous industriels actuels
En rejoignant l'IRT, vous aurez la possibilité de travailler au sein de projets transversaux intégrant nos compétences multidisciplinaires : métalliques, composites, simulations, robotiques et contrôles.

PROFIL RECHERCHÉ : 

De formation Ingénieur(e) en Data Science, vous avez les connaissances théoriques des modèles d'Intelligence Artificielle mais également l'expérience pratique de leur mise en œuvre pour résoudre des problématiques industrielles. Vous êtes à l'aise avec l'informatique et en programmation. Des expériences réussies d'intégration de modèles IA pour le traitement de données de procédés industriels ou d'images seraient appréciées.
Votre expérience dans l'industrie à un poste équivalent en R&D, vous permettra de cerner les besoins et les contraintes du monde industriel. Expérimenté, vous avez effectué de nombreux développements en IA. Vous savez évaluer les risques (techniques, projet) et vous anticipez les écueils du développement et de l'intégration de modèles IA. Vous savez prendre du recul sur un projet, participer à son évolution et vous adapter à ses contraintes. Vous savez initier et structurer des activités de R&D et avez le goût du développement technique et un bon relationnel. Vous savez partager votre vision et vous aimez travailler en équipe. Autonome, organisé et rigoureux, vous êtes capable de participer à plusieurs projets en parallèle.
Persévérant, vous avez le souci d'aller au bout de vos projets démontrant les performances des développements menés. L'implémentation, la démonstration et le transfert font partie de votre vocation.
Vous possédez un bon niveau d'anglais à l'écrit comme à l'oral.
Compétences techniques attendues :
 • Machine Learning (Clustering, Ensemble methods)
 • Maitrise des framework IA : Pytorch, tensorflow
 • Programmation python, C, C++
 • Développement de modèles supervisés : d'analyse d'images par IA computer vision (CNN...), d'analyse de données tabulaires (ANN...), d'analyse de données maillage (GNN...)
 • Développement de modèles non supervisés : détection anomalies
Compétences requises sur ce poste :
 • Synthétiser des résultats
 • Maîtriser la communication orale et écrite
 • Maîtriser les pratiques de la recherche, tant théoriques qu'expérimentales
Cet emploi répond à vos ambitions professionnelles, envoyez-nous votre cv et lettre de motivation qui seront étudiés par la DRH de l'IRT, avant étude par le responsable de l'équipe MIC.
L'IRT Jules Verne est engagé à offrir un environnement de travail respectueux et accessible à tous. Ce poste est ouvert aux personnes en situation de handicap. L'environnement de travail pourra être adapté à vos besoins.","
CDI

Contrat travail
","35H/semaine
Travail en journée",unspecified,unspecified,Irt jules verne,Expérience exigée,CDI,False
9961682,https://candidat.pole-emploi.fr/offres/recherche/detail/9961682,2026-03-06,Offre d'emploi Technicien Data Center (H/F) - 94 - Créteil - 9961682 | France Travail,94 - Créteil,"LTd est une agence de travail temporaire et un cabinet de recrutement spécialisé dans le domaine des Travaux Publics VRD, de la topographie, et des Télécoms riche de 20 ans d'expérience sur toute la France.

Le poste : 

Bonne rentrée 2025 à toutes et à tous ! Après la pause estivale, l'énergie revient et plein de nouvelles opportunités vous attendent pour démarrer cette nouvelle saison avec nous, dans une ambiance motivante et pleine de projets !

Nous recherchons pour l'un de nos clients, société spécialisée dans les Télécoms, un Technicien Data Center H/F.

En tant que Technicien Datacenter, vous jouerez un rôle clé dans la gestion et la maintenance des infrastructures critiques du site.

Supervision et maintenance :
- Contrôler et garantir le bon fonctionnement des infrastructures.
- Effectuer des rondes régulières pour prévenir les anomalies.
- Assurer la maintenance préventive des équipements.

Installation et configuration :
- Installer et racker les équipements (serveurs, dispositifs de stockage, etc.).
- Réaliser le câblage et connecter les équipements réseau et électriques.
- Configurer les dispositifs selon les besoins opérationnels.

Intervention et dépannage :
- Diagnostiquer les pannes matérielles ou liées à l'infrastructure.
- Effectuer les réparations ou remplacements nécessaires.

Gestion logistique et documentation :
- Gérer les stocks de matériel et veiller à leur disponibilité.
- Documenter les interventions et maintenir à jour les bases de données techniques.
- Mettre à jour les schémas et rapports d'infrastructure.

Conformité et sécurité :
- Appliquer les règles de sécurité spécifiques à l'environnement datacenter.
- Veiller au respect des normes techniques et des procédures internes.

Profil recherché : 

Profil recherché

Compétences techniques :
- Bonne connaissance des infrastructures datacenter (racks, serveurs, câblage).
- Maîtrise des outils de diagnostic et des procédures de maintenance.
- Gestion des câbles réseau et électriques.

Qualités organisationnelles :
- Capacité à gérer plusieurs tâches simultanément tout en respectant les priorités.
- Rigueur dans la documentation technique et les rapports d'intervention.

Savoir-être :
- Rigueur et organisation dans l'exécution des tâches.
- Réactivité et autonomie pour intervenir efficacement en cas d'incident.
- Esprit d'équipe et communication claire.
- Adaptabilité aux évolutions technologiques et contraintes opérationnelles.

Expérience : Minimum 2 ans sur un poste similaire.","
Intérim - 18 Mois

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,Débutant accepté,Intérim - 18 Mois,True
9961680,https://candidat.pole-emploi.fr/offres/recherche/detail/9961680,2026-03-06,Offre d'emploi Technicien Data Center (H/F) - 95 - Pontoise - 9961680 | France Travail,95 - Pontoise,"LTd est une agence de travail temporaire et un cabinet de recrutement spécialisé dans le domaine des Travaux Publics VRD, de la topographie, et des Télécoms riche de 20 ans d'expérience sur toute la France.

Le poste : 

Bonne rentrée 2025 à toutes et à tous ! Après la pause estivale, l'énergie revient et plein de nouvelles opportunités vous attendent pour démarrer cette nouvelle saison avec nous, dans une ambiance motivante et pleine de projets !

Nous recherchons pour l'un de nos clients, société spécialisée dans les Télécoms, un Technicien Data Center H/F.

En tant que Technicien Datacenter, vous jouerez un rôle clé dans la gestion et la maintenance des infrastructures critiques du site.

Supervision et maintenance :
- Contrôler et garantir le bon fonctionnement des infrastructures.
- Effectuer des rondes régulières pour prévenir les anomalies.
- Assurer la maintenance préventive des équipements.

Installation et configuration :
- Installer et racker les équipements (serveurs, dispositifs de stockage, etc.).
- Réaliser le câblage et connecter les équipements réseau et électriques.
- Configurer les dispositifs selon les besoins opérationnels.

Intervention et dépannage :
- Diagnostiquer les pannes matérielles ou liées à l'infrastructure.
- Effectuer les réparations ou remplacements nécessaires.

Gestion logistique et documentation :
- Gérer les stocks de matériel et veiller à leur disponibilité.
- Documenter les interventions et maintenir à jour les bases de données techniques.
- Mettre à jour les schémas et rapports d'infrastructure.

Conformité et sécurité :
- Appliquer les règles de sécurité spécifiques à l'environnement datacenter.
- Veiller au respect des normes techniques et des procédures internes.

Profil recherché : 

Profil recherché

Compétences techniques :
- Bonne connaissance des infrastructures datacenter (racks, serveurs, câblage).
- Maîtrise des outils de diagnostic et des procédures de maintenance.
- Gestion des câbles réseau et électriques.

Qualités organisationnelles :
- Capacité à gérer plusieurs tâches simultanément tout en respectant les priorités.
- Rigueur dans la documentation technique et les rapports d'intervention.

Savoir-être :
- Rigueur et organisation dans l'exécution des tâches.
- Réactivité et autonomie pour intervenir efficacement en cas d'incident.
- Esprit d'équipe et communication claire.
- Adaptabilité aux évolutions technologiques et contraintes opérationnelles.

Expérience : Minimum 2 ans sur un poste similaire.","
Intérim - 18 Mois

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,Débutant accepté,Intérim - 18 Mois,True
9961669,https://candidat.pole-emploi.fr/offres/recherche/detail/9961669,2026-03-06,Offre d'emploi Technicien Data Center (H/F) - 93 - Bobigny - 9961669 | France Travail,93 - Bobigny,"LTd est une agence de travail temporaire et un cabinet de recrutement spécialisé dans le domaine des Travaux Publics VRD, de la topographie, et des Télécoms riche de 20 ans d'expérience sur toute la France.

Le poste : 

Bonne rentrée 2025 à toutes et à tous ! Après la pause estivale, l'énergie revient et plein de nouvelles opportunités vous attendent pour démarrer cette nouvelle saison avec nous, dans une ambiance motivante et pleine de projets !

Nous recherchons pour l'un de nos clients, société spécialisée dans les Télécoms, un Technicien Data Center H/F.

En tant que Technicien Datacenter, vous jouerez un rôle clé dans la gestion et la maintenance des infrastructures critiques du site.

Supervision et maintenance :
- Contrôler et garantir le bon fonctionnement des infrastructures.
- Effectuer des rondes régulières pour prévenir les anomalies.
- Assurer la maintenance préventive des équipements.

Installation et configuration :
- Installer et racker les équipements (serveurs, dispositifs de stockage, etc.).
- Réaliser le câblage et connecter les équipements réseau et électriques.
- Configurer les dispositifs selon les besoins opérationnels.

Intervention et dépannage :
- Diagnostiquer les pannes matérielles ou liées à l'infrastructure.
- Effectuer les réparations ou remplacements nécessaires.

Gestion logistique et documentation :
- Gérer les stocks de matériel et veiller à leur disponibilité.
- Documenter les interventions et maintenir à jour les bases de données techniques.
- Mettre à jour les schémas et rapports d'infrastructure.

Conformité et sécurité :
- Appliquer les règles de sécurité spécifiques à l'environnement datacenter.
- Veiller au respect des normes techniques et des procédures internes.

Profil recherché : 

Profil recherché

Compétences techniques :
- Bonne connaissance des infrastructures datacenter (racks, serveurs, câblage).
- Maîtrise des outils de diagnostic et des procédures de maintenance.
- Gestion des câbles réseau et électriques.

Qualités organisationnelles :
- Capacité à gérer plusieurs tâches simultanément tout en respectant les priorités.
- Rigueur dans la documentation technique et les rapports d'intervention.

Savoir-être :
- Rigueur et organisation dans l'exécution des tâches.
- Réactivité et autonomie pour intervenir efficacement en cas d'incident.
- Esprit d'équipe et communication claire.
- Adaptabilité aux évolutions technologiques et contraintes opérationnelles.

Expérience : Minimum 2 ans sur un poste similaire.","
Intérim - 18 Mois

Contrat travail
",Travail en journée,unspecified,unspecified,Unspecified,Débutant accepté,Intérim - 18 Mois,True
